,max,mean,median,min,rmse,sse,std
GA-LIMO,9.127427463867567,4.681480296768174,4.859705886655268,0.3755992140828169,5.134051547898271,119641.16476070744,2.107659253164041
LIMO,11.114239897256875,5.205222164761822,5.169428140031659,0.17664079165981253,5.77087543224785,151162.3317722745,2.491719380266177
