,max,mean,median,min,rmse,sse,std
LIMO,7.592196210482305,3.1373781422617237,2.5885872392285316,0.33330253964289025,3.7075190635564,15092.77597208427,1.9754888000422837
with_GA,8.29808239604976,3.178441260273573,2.746145450366911,0.25133391243792147,3.8304104544803037,16109.904586271621,2.1376518436786056
