,max,mean,median,min,rmse,sse,std
LIMO_01,7.592196210482305,3.1373781422617237,2.5885872392285316,0.33330253964289025,3.7075190635564,15092.77597208427,1.9754888000422837
with_GA_01_,7.848537068577772,2.986002382958035,2.5236147870857564,0.3503537171195852,3.58874677142328,14141.255521562314,1.990701674879978
